Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender,race
,,,,,,,,,,,,,,,,,,,,,,,3:45,,,,Rick Mason,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Lerato,Female,Black
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Ingrid,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,1:15,,,,Oksana,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,Contessa Valentina de Fontaine,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,,22:00,,,Xu Xialing,Female,Asian
,,,,,,,,,,,,,,,,,,,,,,,,7:45,,,Ying Nan,Female,Asian
,,,,,,,,,,,,,,,,,,,,,,,,6:30,,,Ying Li,Female,Asian
,,,,,,,,,,,,,,,,,,,,,,,,6:00,,,Razor Fist,Male,Asian
,,,,,,,,,,,,,,,,,,,,,,,,5:15,,,Morris,Male,Alien
,,,,,,,,,,,,,,,,,,,,,,,,4:15,,,The Great Protector,Male,Asian
