Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Monica Rambeau,Female
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Goose,Male
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Dr. Wendy Lawson,Female
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Kree Supreme Intelligence,Male
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Minn-Erva,Female
,,,,,,,,,,,,,,,,,,,,2:30,,,,,,,Att-Lass,Male
,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,Bron-Char,Male
,,,,,,,,,,,,,,,,,,,,2:00,,3:30,,,,,Soren,Male
,,,,,,,,,,,,,,,,,,,,,9:15,,,,,,War Machine,Male
,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,Morgan Stark,Male
,,,,,,,,,,,,,,,,,,,,,1:30,,,,,,Lila Barton,Female
,,,,,,,,,,,,,,,,,,,,,1:15,,,,,,Akihiko,Male
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Agent Brock Rumlow,Male
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Cooper Barton,Male
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Nathaniel Barton,Male
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Queen Ramonda,Female
,,,,,,,,,,,,,,,,,,,,,,21:15,,,,,Mysterio,Male
,,,,,,,,,,,,,,,,,,,,,,5:45,,,,,Brad Davis,Male
,,,,,,,,,,,,,,,,,,,,,,4:15,,,,:30,Julius Dell,Male
,,,,,,,,,,,,,,,,,,,,,,3:30,,,,,Josh,Male
